slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,round=SF & age_gap_bucket=>8,False,8,0.0136,0.625,0.625,0.0,0.0148,0.0165,0.0017,0.5111,0.5028,-0.0083,flat
2,tourney_level=A & form_gap_bucket=0.25-0.40,False,7,0.0119,0.4286,0.4286,0.0,-0.1816,-0.1799,0.0017,0.4937,0.4878,-0.0059,flat
2,round=F & form_gap_bucket=0.00-0.10,False,7,0.0119,0.4286,0.4286,0.0,-0.1816,-0.1799,0.0017,0.4914,0.474,-0.0174,flat
2,round=SF & form_gap_bucket=0.25-0.40,False,7,0.0119,0.4286,0.4286,0.0,-0.1816,-0.1799,0.0017,0.4906,0.45,-0.0406,flat
2,round=R64 & rank_gap_bucket=>100,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6463,0.6404,-0.0059,flat
2,round=SF & rank_gap_bucket=11-25,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.5633,0.5439,-0.0194,flat
2,age_gap_bucket=0-2 & form_gap_bucket=>0.40,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6066,0.5968,-0.0097,flat
2,age_gap_bucket=6-8 & form_gap_bucket=>0.40,False,7,0.0119,0.7143,0.7143,0.0,0.1041,0.1058,0.0017,0.6518,0.6864,0.0346,flat
2,round=SF & rank_gap_bucket=51-100,False,6,0.0102,0.5,0.5,0.0,-0.1102,-0.1085,0.0017,0.513,0.499,-0.014,flat
2,tourney_level=G & handedness_matchup=R-vs-R,False,6,0.0102,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.5809,0.5828,0.0019,flat
2,round=R128 & rank_gap_bucket=11-25,False,6,0.0102,0.6667,0.6667,0.0,0.0565,0.0582,0.0017,0.541,0.5246,-0.0164,flat
2,tourney_level=F & form_gap_bucket=0.25-0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.6635,0.6288,-0.0347,flat
2,round=R128 & age_gap_bucket=0-2,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.5908,0.5661,-0.0247,flat
2,handedness_matchup=L-vs-L & rank_gap_bucket=51-100,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.716,0.6508,-0.0652,flat
2,rank_gap_bucket=0-10 & form_gap_bucket=>0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.6052,0.5958,-0.0093,flat
2,rank_gap_bucket=26-50 & form_gap_bucket=>0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.7518,0.7498,-0.0021,flat
2,age_gap_bucket=>8 & form_gap_bucket=>0.40,False,6,0.0102,0.8333,0.8333,0.0,0.2232,0.2249,0.0017,0.6985,0.7045,0.006,flat
2,tourney_level=G & form_gap_bucket=0.10-0.25,False,5,0.0085,0.4,0.4,0.0,-0.2102,-0.2085,0.0017,0.4954,0.4929,-0.0025,flat
2,tourney_level=G & rank_gap_bucket=11-25,False,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.5844,0.5792,-0.0052,flat
2,round=R128 & form_gap_bucket=0.25-0.40,False,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.5596,0.5724,0.0128,flat
2,round=R16 & form_gap_bucket=>0.40,False,5,0.0085,0.6,0.6,0.0,-0.0102,-0.0085,0.0017,0.558,0.5876,0.0295,flat
2,rank_gap_bucket=51-100 & form_gap_bucket=>0.40,False,5,0.0085,0.8,0.8,0.0,0.1898,0.1915,0.0017,0.6837,0.6839,0.0002,flat
2,tourney_level=M & form_gap_bucket=>0.40,False,5,0.0085,1.0,1.0,0.0,0.3898,0.3915,0.0017,0.8122,0.8133,0.001,flat
1,best_of=3,False,567,0.961,0.6138,0.612,-0.0018,0.0036,0.0035,-0.0001,0.5593,0.5522,-0.0071,down
1,surface=Hard,False,583,0.9881,0.6106,0.6072,-0.0034,0.0005,-0.0013,-0.0017,0.5574,0.5503,-0.0071,down
2,surface=Hard & best_of=3,False,560,0.9492,0.6143,0.6107,-0.0036,0.0041,0.0022,-0.0019,0.5593,0.5523,-0.007,down
2,tourney_level=250 & handedness_matchup=R-vs-R,False,138,0.2339,0.5725,0.5652,-0.0072,-0.0377,-0.0433,-0.0056,0.534,0.535,0.001,down
2,surface=Hard & age_gap_bucket=6-8,False,119,0.2017,0.6555,0.6471,-0.0084,0.0453,0.0386,-0.0067,0.5765,0.572,-0.0045,down
1,round=RR,False,117,0.1983,0.5726,0.5641,-0.0085,-0.0375,-0.0444,-0.0069,0.5444,0.5357,-0.0087,down
1,handedness_matchup=R-vs-R,False,429,0.7271,0.634,0.6247,-0.0093,0.0239,0.0162,-0.0076,0.5647,0.5582,-0.0065,down
2,surface=Hard & handedness_matchup=R-vs-R,False,425,0.7203,0.6306,0.6212,-0.0094,0.0204,0.0127,-0.0077,0.5639,0.5576,-0.0063,down
2,best_of=3 & round=RR,False,105,0.178,0.5905,0.581,-0.0095,-0.0197,-0.0275,-0.0078,0.552,0.5432,-0.0088,down
2,best_of=3 & handedness_matchup=R-vs-R,False,416,0.7051,0.6346,0.625,-0.0096,0.0244,0.0165,-0.0079,0.5647,0.5582,-0.0065,down
1,age_gap_bucket=3-5,False,193,0.3271,0.5492,0.5389,-0.0104,-0.0609,-0.0696,-0.0087,0.5333,0.5266,-0.0068,down
2,surface=Hard & age_gap_bucket=3-5,False,191,0.3237,0.5497,0.5393,-0.0105,-0.0604,-0.0692,-0.0088,0.5337,0.5267,-0.007,down
2,best_of=3 & age_gap_bucket=3-5,False,188,0.3186,0.5479,0.5372,-0.0106,-0.0623,-0.0712,-0.0089,0.533,0.5264,-0.0066,down
1,tourney_level=250,False,187,0.3169,0.5722,0.5615,-0.0107,-0.038,-0.047,-0.009,0.5316,0.5306,-0.001,down
2,surface=Hard & tourney_level=250,False,187,0.3169,0.5722,0.5615,-0.0107,-0.038,-0.047,-0.009,0.5316,0.5306,-0.001,down
2,tourney_level=250 & best_of=3,False,187,0.3169,0.5722,0.5615,-0.0107,-0.038,-0.047,-0.009,0.5316,0.5306,-0.001,down
2,handedness_matchup=R-vs-R & rank_gap_bucket=>100,False,92,0.1559,0.6304,0.6196,-0.0109,0.0203,0.0111,-0.0092,0.566,0.5573,-0.0087,down
2,handedness_matchup=R-vs-R & age_gap_bucket=6-8,False,89,0.1508,0.7416,0.7303,-0.0112,0.1314,0.1219,-0.0095,0.6037,0.5984,-0.0053,down
2,handedness_matchup=R-vs-R & rank_gap_bucket=11-25,False,86,0.1458,0.5233,0.5116,-0.0116,-0.0869,-0.0968,-0.0099,0.5056,0.5032,-0.0023,down
2,round=RR & handedness_matchup=R-vs-R,False,83,0.1407,0.6506,0.6386,-0.012,0.0404,0.0301,-0.0104,0.5696,0.5575,-0.0122,down
1,rank_gap_bucket=11-25,False,125,0.2119,0.568,0.552,-0.016,-0.0422,-0.0565,-0.0143,0.5243,0.5169,-0.0074,down
2,surface=Hard & rank_gap_bucket=11-25,False,125,0.2119,0.568,0.552,-0.016,-0.0422,-0.0565,-0.0143,0.5243,0.5169,-0.0074,down
2,tourney_level=M & form_gap_bucket=0.00-0.10,False,61,0.1034,0.6885,0.6721,-0.0164,0.0784,0.0637,-0.0147,0.5735,0.556,-0.0175,down
2,best_of=3 & rank_gap_bucket=11-25,False,117,0.1983,0.5556,0.5385,-0.0171,-0.0546,-0.07,-0.0154,0.5201,0.5132,-0.0069,down
2,surface=Hard & round=RR,False,110,0.1864,0.5727,0.5545,-0.0182,-0.0374,-0.0539,-0.0165,0.5433,0.5349,-0.0084,down
2,rank_gap_bucket=11-25 & age_gap_bucket=3-5,False,52,0.0881,0.4038,0.3846,-0.0192,-0.2063,-0.2239,-0.0175,0.4811,0.4737,-0.0074,down
1,tourney_level=M,False,150,0.2542,0.6867,0.6667,-0.02,0.0765,0.0582,-0.0183,0.5868,0.5747,-0.0122,down
2,surface=Hard & tourney_level=M,False,150,0.2542,0.6867,0.6667,-0.02,0.0765,0.0582,-0.0183,0.5868,0.5747,-0.0122,down
2,tourney_level=M & best_of=3,False,150,0.2542,0.6867,0.6667,-0.02,0.0765,0.0582,-0.0183,0.5868,0.5747,-0.0122,down
1,form_gap_bucket=0.10-0.25,False,195,0.3305,0.5692,0.5487,-0.0205,-0.0409,-0.0598,-0.0188,0.5459,0.5372,-0.0086,down
2,best_of=3 & form_gap_bucket=0.10-0.25,False,189,0.3203,0.5767,0.5556,-0.0212,-0.0334,-0.0529,-0.0195,0.5483,0.5393,-0.009,down
1,rank_gap_bucket=0-10,False,94,0.1593,0.5745,0.5532,-0.0213,-0.0357,-0.0553,-0.0196,0.5343,0.5224,-0.0119,down
2,surface=Hard & rank_gap_bucket=0-10,False,94,0.1593,0.5745,0.5532,-0.0213,-0.0357,-0.0553,-0.0196,0.5343,0.5224,-0.0119,down
2,best_of=3 & rank_gap_bucket=0-10,False,89,0.1508,0.573,0.5506,-0.0225,-0.0371,-0.0579,-0.0208,0.5349,0.5228,-0.0121,down
2,rank_gap_bucket=>100 & form_gap_bucket=0.10-0.25,False,44,0.0746,0.6364,0.6136,-0.0227,0.0262,0.0052,-0.021,0.5694,0.5572,-0.0122,down
2,age_gap_bucket=0-2 & form_gap_bucket=0.10-0.25,False,44,0.0746,0.6591,0.6364,-0.0227,0.0489,0.0279,-0.021,0.5905,0.5698,-0.0207,down
2,tourney_level=M & rank_gap_bucket=26-50,False,43,0.0729,0.7209,0.6977,-0.0233,0.1108,0.0892,-0.0216,0.6113,0.5945,-0.0168,down
2,rank_gap_bucket=26-50 & age_gap_bucket=3-5,False,43,0.0729,0.6512,0.6279,-0.0233,0.041,0.0194,-0.0216,0.5578,0.5565,-0.0013,down
2,round=RR & form_gap_bucket=0.00-0.10,False,41,0.0695,0.561,0.5366,-0.0244,-0.0492,-0.0719,-0.0227,0.5258,0.513,-0.0128,down
2,round=R32 & rank_gap_bucket=11-25,False,40,0.0678,0.55,0.525,-0.025,-0.0602,-0.0835,-0.0233,0.5182,0.5111,-0.0071,down
2,surface=Hard & form_gap_bucket=0.10-0.25,False,194,0.3288,0.5722,0.5464,-0.0258,-0.038,-0.0621,-0.0241,0.5463,0.5374,-0.0089,down
2,rank_gap_bucket=51-100 & form_gap_bucket=0.10-0.25,False,37,0.0627,0.6216,0.5946,-0.027,0.0115,-0.0139,-0.0253,0.5607,0.5598,-0.0009,down
2,rank_gap_bucket=0-10 & form_gap_bucket=0.00-0.10,False,37,0.0627,0.5405,0.5135,-0.027,-0.0696,-0.095,-0.0253,0.5105,0.5052,-0.0053,down
2,handedness_matchup=R-vs-R & age_gap_bucket=3-5,False,138,0.2339,0.5652,0.5362,-0.029,-0.045,-0.0722,-0.0273,0.5334,0.5261,-0.0073,down
2,tourney_level=M & rank_gap_bucket=11-25,False,34,0.0576,0.6471,0.6176,-0.0294,0.0369,0.0092,-0.0277,0.5472,0.5282,-0.019,down
2,tourney_level=D & age_gap_bucket=3-5,False,32,0.0542,0.5625,0.5312,-0.0312,-0.0477,-0.0772,-0.0296,0.535,0.5276,-0.0075,down
1,round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
2,surface=Hard & round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
2,tourney_level=M & round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
2,best_of=3 & round=R128,False,32,0.0542,0.5938,0.5625,-0.0312,-0.0164,-0.046,-0.0296,0.5194,0.5165,-0.0029,down
1,round=SF,False,32,0.0542,0.6562,0.625,-0.0312,0.0461,0.0165,-0.0296,0.5579,0.5365,-0.0214,down
2,surface=Hard & round=SF,False,32,0.0542,0.6562,0.625,-0.0312,0.0461,0.0165,-0.0296,0.5579,0.5365,-0.0214,down
2,tourney_level=M & round=R32,False,32,0.0542,0.7188,0.6875,-0.0312,0.1086,0.079,-0.0296,0.6242,0.6117,-0.0126,down
2,rank_gap_bucket=26-50 & form_gap_bucket=0.00-0.10,False,62,0.1051,0.6613,0.629,-0.0323,0.0511,0.0206,-0.0306,0.5685,0.5527,-0.0159,down
2,rank_gap_bucket=0-10 & form_gap_bucket=0.10-0.25,False,30,0.0508,0.4667,0.4333,-0.0333,-0.1435,-0.1751,-0.0316,0.5139,0.4965,-0.0174,down
2,rank_gap_bucket=0-10 & age_gap_bucket=3-5,False,30,0.0508,0.6,0.5667,-0.0333,-0.0102,-0.0418,-0.0316,0.5591,0.5282,-0.0309,down
2,round=R16 & age_gap_bucket=3-5,False,29,0.0492,0.6207,0.5862,-0.0345,0.0105,-0.0223,-0.0328,0.5553,0.5477,-0.0077,down
2,tourney_level=M & handedness_matchup=R-vs-R,False,114,0.1932,0.7018,0.6667,-0.0351,0.0916,0.0582,-0.0334,0.5905,0.5793,-0.0112,down
2,rank_gap_bucket=0-10 & age_gap_bucket=0-2,False,28,0.0475,0.6071,0.5714,-0.0357,-0.003,-0.037,-0.034,0.5256,0.5175,-0.0082,down
2,best_of=3 & round=SF,False,28,0.0475,0.6429,0.6071,-0.0357,0.0327,-0.0013,-0.034,0.5578,0.5379,-0.0198,down
2,tourney_level=250 & age_gap_bucket=3-5,False,55,0.0932,0.4727,0.4364,-0.0364,-0.1374,-0.1721,-0.0347,0.5026,0.5054,0.0028,down
2,tourney_level=M & form_gap_bucket=0.10-0.25,False,50,0.0847,0.58,0.54,-0.04,-0.0302,-0.0685,-0.0383,0.5597,0.5457,-0.014,down
2,round=R16 & age_gap_bucket=6-8,False,25,0.0424,0.8,0.76,-0.04,0.1898,0.1515,-0.0383,0.5806,0.5811,0.0005,down
2,tourney_level=250 & form_gap_bucket=0.10-0.25,False,73,0.1237,0.6438,0.6027,-0.0411,0.0337,-0.0057,-0.0394,0.5613,0.5586,-0.0026,down
2,tourney_level=M & age_gap_bucket=6-8,False,24,0.0407,0.6667,0.625,-0.0417,0.0565,0.0165,-0.04,0.5865,0.571,-0.0155,down
2,age_gap_bucket=3-5 & form_gap_bucket=0.10-0.25,False,72,0.122,0.4861,0.4444,-0.0417,-0.1241,-0.164,-0.04,0.5077,0.5004,-0.0073,down
2,handedness_matchup=R-vs-R & form_gap_bucket=0.10-0.25,False,140,0.2373,0.6286,0.5857,-0.0429,0.0184,-0.0228,-0.0412,0.5618,0.5525,-0.0093,down
2,round=RR & rank_gap_bucket=11-25,False,23,0.039,0.4783,0.4348,-0.0435,-0.1319,-0.1737,-0.0418,0.4916,0.4979,0.0063,down
2,handedness_matchup=R-vs-R & rank_gap_bucket=0-10,False,64,0.1085,0.6406,0.5938,-0.0469,0.0305,-0.0147,-0.0452,0.5489,0.5344,-0.0144,down
2,tourney_level=250 & age_gap_bucket=6-8,False,39,0.0661,0.6923,0.641,-0.0513,0.0821,0.0326,-0.0496,0.5633,0.5653,0.002,down
2,round=RR & age_gap_bucket=0-2,False,39,0.0661,0.5897,0.5385,-0.0513,-0.0204,-0.07,-0.0496,0.5298,0.5216,-0.0082,down
2,round=RR & age_gap_bucket=3-5,False,38,0.0644,0.5789,0.5263,-0.0526,-0.0312,-0.0822,-0.0509,0.5429,0.5257,-0.0173,down
2,tourney_level=M & age_gap_bucket=>8,False,37,0.0627,0.6757,0.6216,-0.0541,0.0655,0.0131,-0.0524,0.5789,0.5758,-0.0031,down
2,rank_gap_bucket=11-25 & age_gap_bucket=6-8,False,18,0.0305,0.5556,0.5,-0.0556,-0.0546,-0.1085,-0.0539,0.554,0.5371,-0.0169,down
2,tourney_level=D & rank_gap_bucket=11-25,False,16,0.0271,0.4375,0.375,-0.0625,-0.1727,-0.2335,-0.0608,0.4787,0.4973,0.0186,down
2,tourney_level=M & round=R16,False,16,0.0271,0.75,0.6875,-0.0625,0.1398,0.079,-0.0608,0.5901,0.5671,-0.0231,down
2,tourney_level=250 & rank_gap_bucket=0-10,False,15,0.0254,0.5333,0.4667,-0.0667,-0.0768,-0.1418,-0.065,0.5045,0.5098,0.0053,down
2,round=RR & rank_gap_bucket=0-10,False,29,0.0492,0.5862,0.5172,-0.069,-0.024,-0.0912,-0.0673,0.5454,0.5248,-0.0206,down
2,tourney_level=250 & round=SF,False,14,0.0237,0.7143,0.6429,-0.0714,0.1041,0.0344,-0.0697,0.554,0.5311,-0.0229,down
2,rank_gap_bucket=11-25 & form_gap_bucket=0.10-0.25,False,42,0.0712,0.5238,0.4524,-0.0714,-0.0864,-0.1561,-0.0697,0.5053,0.4953,-0.01,down
2,tourney_level=250 & rank_gap_bucket=11-25,False,27,0.0458,0.5556,0.4815,-0.0741,-0.0546,-0.127,-0.0724,0.5211,0.5143,-0.0068,down
2,round=SF & form_gap_bucket=0.10-0.25,False,13,0.022,0.7692,0.6923,-0.0769,0.1591,0.0838,-0.0752,0.6126,0.5951,-0.0176,down
2,round=R128 & handedness_matchup=R-vs-R,False,23,0.039,0.6957,0.6087,-0.087,0.0855,0.0002,-0.0853,0.5372,0.5272,-0.01,down
2,tourney_level=M & rank_gap_bucket=>100,False,21,0.0356,0.6667,0.5714,-0.0952,0.0565,-0.037,-0.0935,0.591,0.586,-0.005,down
1,round=F,False,16,0.0271,0.625,0.5,-0.125,0.0148,-0.1085,-0.1233,0.531,0.5201,-0.0109,down
2,surface=Hard & round=F,False,16,0.0271,0.625,0.5,-0.125,0.0148,-0.1085,-0.1233,0.531,0.5201,-0.0109,down
2,round=R128 & age_gap_bucket=>8,False,8,0.0136,0.375,0.25,-0.125,-0.2352,-0.3585,-0.1233,0.4501,0.4525,0.0023,down
2,round=F & handedness_matchup=R-vs-R,False,8,0.0136,0.625,0.5,-0.125,0.0148,-0.1085,-0.1233,0.5372,0.528,-0.0091,down
2,round=SF & age_gap_bucket=3-5,False,8,0.0136,0.625,0.5,-0.125,0.0148,-0.1085,-0.1233,0.5405,0.5223,-0.0182,down
2,best_of=3 & round=F,False,14,0.0237,0.5714,0.4286,-0.1429,-0.0387,-0.1799,-0.1412,0.5164,0.5056,-0.0109,down
2,round=R128 & form_gap_bucket=0.10-0.25,False,13,0.022,0.5385,0.3846,-0.1538,-0.0717,-0.2239,-0.1522,0.4993,0.4878,-0.0115,down
2,round=F & rank_gap_bucket=0-10,False,6,0.0102,0.6667,0.5,-0.1667,0.0565,-0.1085,-0.165,0.5459,0.5155,-0.0303,down
2,round=R16 & rank_gap_bucket=0-10,False,6,0.0102,1.0,0.8333,-0.1667,0.3898,0.2249,-0.165,0.5652,0.5628,-0.0024,down
2,round=R128 & rank_gap_bucket=>100,False,12,0.0203,0.5833,0.4167,-0.1667,-0.0268,-0.1918,-0.165,0.5124,0.5067,-0.0057,down
2,tourney_level=F & age_gap_bucket=3-5,False,6,0.0102,0.8333,0.6667,-0.1667,0.2232,0.0582,-0.165,0.6381,0.5863,-0.0519,down
2,round=R128 & rank_gap_bucket=26-50,False,6,0.0102,0.8333,0.6667,-0.1667,0.2232,0.0582,-0.165,0.5316,0.5343,0.0027,down
2,round=F & age_gap_bucket=0-2,False,5,0.0085,0.6,0.4,-0.2,-0.0102,-0.2085,-0.1983,0.5361,0.5123,-0.0239,down
1,tourney_level=F,False,15,0.0254,0.8,0.6,-0.2,0.1898,-0.0085,-0.1983,0.5914,0.5651,-0.0263,down
2,surface=Hard & tourney_level=F,False,15,0.0254,0.8,0.6,-0.2,0.1898,-0.0085,-0.1983,0.5914,0.5651,-0.0263,down
2,tourney_level=F & best_of=3,False,15,0.0254,0.8,0.6,-0.2,0.1898,-0.0085,-0.1983,0.5914,0.5651,-0.0263,down
2,tourney_level=F & handedness_matchup=R-vs-R,False,15,0.0254,0.8,0.6,-0.2,0.1898,-0.0085,-0.1983,0.5914,0.5651,-0.0263,down
2,tourney_level=F & rank_gap_bucket=0-10,False,15,0.0254,0.8,0.6,-0.2,0.1898,-0.0085,-0.1983,0.5914,0.5651,-0.0263,down
2,round=SF & rank_gap_bucket=26-50,False,5,0.0085,0.8,0.6,-0.2,0.1898,-0.0085,-0.1983,0.5962,0.5616,-0.0346,down
2,tourney_level=F & round=RR,False,12,0.0203,0.8333,0.5833,-0.25,0.2232,-0.0251,-0.2483,0.5845,0.5536,-0.0309,down
2,tourney_level=250 & round=F,False,7,0.0119,0.5714,0.2857,-0.2857,-0.0387,-0.3228,-0.284,0.4747,0.4742,-0.0005,down
2,tourney_level=F & age_gap_bucket=0-2,False,6,0.0102,0.8333,0.5,-0.3333,0.2232,-0.1085,-0.3316,0.5444,0.5287,-0.0156,down
2,round=F & form_gap_bucket=0.10-0.25,False,6,0.0102,0.8333,0.5,-0.3333,0.2232,-0.1085,-0.3316,0.53,0.5275,-0.0025,down
